TenCoSo,SoGiayPhep,DiaChi,NgayCap,TinhTrang,TenHinhThuc,SoCCHN_NDD
Phòng khám đa khoa thuộc Công ty Cổ phần Euro Stemcell,04211/SYT-GPHĐ,"SI-09 Khu phố Garden Court 2, Phường Tân Phong, Quận 7, TP Hồ Chí Minh",2015-10-15 0:00:00,Đang hoạt động,Phòng khám đa khoa,000013/BL-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt thuộc Công ty TNHH Chăm sóc sức khỏe E.X.M,03516/SYT-GPHĐ,"Lô MD6, Khu A Khu đô thị mới Nam thành phố, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, TP Hồ Chí Minh",2014-10-20 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000017/BYT-CCHN
Công ty TNHH American Eye Center,00002/SYT-GPHĐ,"Phòng 509 & 510, Tòa nhà Crescent Plaza, lô CR4-1, số 105 Tôn Dật Tiên (Đô thị Phú Mỹ Hưng), P.Tân Phú, Quận 7, TP.Hồ Chí Minh",2012-08-24 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Mắt,000018/BYT-CCHN
Phòng khám chuyên khoa Tai Mũi Họng,01696/SYT-GPHĐ,"51 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, TP Hồ Chí Minh",2014-02-25 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000019/HCM-CCHN
Phòng khám chuyên khoa Sản Phụ khoa,00289/SYT-GPHĐ,"51 Đường 284 Cao Lỗ, Phường 4, Quận 8, TP Hồ Chí Minh",2013-08-22 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Sản phụ khoa,000025/HCM-CCHN
Phòng khám chuyên khoa Tai mũi họng,03025/SYT-GPHĐ,"019 Lô C2 Chung cư P6 - Tân Vĩnh, Phường 6, Quận 4, TP Hồ Chí Minh",2014-06-13 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000030/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00888/SYT-GPHĐ,"322C Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, TP Hồ Chí Minh",2013-12-17 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000042/GL-CCHN
Phòng khám chuyên khoa Tai Mũi Họng,02780/SYT-GPHĐ,"182/2A Hồ Văn Huê, Phường 9, Quận Phú Nhuận, TP Hồ Chí Minh",2014-05-15 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000049/HCM-CCHN
Phòng khám Nội tổng hợp,01276/SYT-GPHĐ,"46 Nguyễn Thị Tú, KP1, Phường Bình Hưng Hòa B , Quận Bình Tân, TP Hồ Chí Minh",2014-02-11 0:00:00,Đang hoạt động,Phòng khám Nội tổng hợp,000058/ĐL-CCHN
None,02321/SYT-GPHĐ,"601/4A Cách Mạng Tháng 8, Phường 15, Quận 10, TP.Hồ Chí Minh",2014-04-21 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Tai Mũi Họng,000048/HCM-CCHN
Phòng khám chuyên khoa Răng Hàm Mặt,00223/SYT-GPHĐ,"30 Lý Chính Thắng, Phường 8, Quận 3, TP Hồ Chí Minh",2013-08-08 0:00:00,Đang hoạt động,Phòng khám chuyên khoa Răng Hàm Mặt,000057/HCM-CCHN
Bệnh viện Nhân dân 115,01357/SYT-GPHĐ,"527 Sư Vạn Hạnh, Phường 12, Quận 10, TP Hồ Chí Minh",2014-01-13 0:00:00,Đang hoạt động,Bệnh viện đa khoa,000068/HCM-CCHN
